id,neets
92,7.9
93,3.8
94,5
95,4.6
96,4.2
97,5.5
98,6.9
99,4.9
910,6.1
911,6.6
912,7.4
913,5.6
914,6.8
915,2.9
916,4.7
917,5.4
918,4.7
919,7.3
920,5
921,3.4
922,7.6
923,4.9
924,5.6
925,6.7
926,4.1
927,3.5
928,8.7
929,4.4
930,6
931,4.5
932,4.3
102,6.9
103,3.6
104,4.6
105,5
106,4.3
107,6.4
108,6.6
109,4.4
1010,5.8
1011,6.2
1012,6.2
1013,5.2
1014,6.6
1015,2.7
1016,4
1017,4.6
1018,4.6
1019,6.2
1020,5.3
1021,3.1
1022,7.4
1023,4.7
1024,5.5
1025,6.4
1026,4.1
1027,3.8
1028,8.4
1029,4.2
1030,5.3
1031,4.2
1032,4.5
112,6.6
113,4.1
114,3.4
115,3.9
116,5.2
117,7.2
118,6.1
119,3.2
1110,4.2
1111,4.9
1112,3.9
1113,4.6
1114,4.3
1115,2.5
1116,4.5
1117,3.9
1118,4.4
1119,8.4
1120,6.9
1121,3.3
1122,3.6
1123,5.1
1124,4.6
1125,4.6
1126,4
1127,5.2
1128,4.4
1129,4.2
1130,5
1131,3.6
1132,5.1
122,5.4
123,3.5
124,4
125,2.4
126,4.1
127,10.2
128,4.4
129,3.3
1210,4.2
1211,6.9
1212,7
1213,3.9
1214,3.7
1215,2
1216,4.7
1217,3.6
1218,4.4
1219,8.8
1220,8.6
1221,3.6
1222,7.5
1223,3
1224,4
1225,5.3
1226,3.6
1227,3.9
1228,7.7
1229,3.9
1230,4.9
1231,3.7
1232,7.1
132,5.8
133,2.3
134,4.2
135,3
136,5.8
137,4.3
138,3
139,3.3
1310,4.2
1311,6.5
1312,3.2
1313,3.2
1314,3.5
1315,1.8
1316,4.3
1317,3.5
1318,4.1
1319,5
1320,5.1
1321,4.2
1322,2.7
1323,3.5
1324,4.6
1325,4
1326,3.4
1327,4.5
1328,2.9
1329,4
1330,4.6
1331,3.3
1332,3.5
142,5.7
143,2.5
144,3.4
145,2.6
146,4.3
147,4.4
148,3.3
149,3
1410,3.1
1411,5
1412,3
1413,2.5
1414,3.5
1415,1.5
1416,4
1417,2.4
1418,3.2
1419,5.2
1420,3.6
1421,3.9
1422,2.2
1423,3.5
1424,4.3
1425,4.3
1426,3.3
1427,4.3
1428,2
1429,3.2
1430,3.4
1431,3
1432,2.9
152,5.8
153,2
154,2.8
155,2.2
156,3.4
157,4.4
158,2.9
159,3.2
1510,3.5
1511,6.2
1512,2.5
1513,2.4
1514,3.6
1515,1.4
1516,3.4
1517,2.8
1518,2.5
1519,2.2
1520,3.1
1521,2.6
1522,2
1523,3.2
1524,3.5
1525,3.7
1526,3.3
1527,3.1
1528,2.2
1529,2.4
1530,3.4
1531,3
1532,3
