id,employment
92,0.627
93,0.672
94,0.694
95,0.69
96,0.755
97,0.653
98,0.722
99,0.642
910,0.609
911,0.637
912,0.681
913,0.669
914,0.6
915,0.712
916,0.712
917,0.722
918,0.707
919,0.653
920,0.63
921,0.739
922,0.725
923,0.694
924,0.731
925,0.555
926,0.671
927,0.744
928,0.658
929,0.773
930,0.595
931,0.653
932,0.777
102,0.623
103,0.707
104,0.704
105,0.643
106,0.727
107,0.662
108,0.719
109,0.673
1010,0.632
1011,0.668
1012,0.68
1013,0.659
1014,0.621
1015,0.72
1016,0.685
1017,0.669
1018,0.715
1019,0.664
1020,0.637
1021,0.704
1022,0.726
1023,0.639
1024,0.722
1025,0.545
1026,0.644
1027,0.749
1028,0.687
1029,0.756
1030,0.611
1031,0.641
1032,0.726
112,0.62
113,0.69
114,0.709
115,0.607
116,0.738
117,0.615
118,0.66
119,0.68
1110,0.65
1111,0.676
1112,0.672
1113,0.664
1114,0.659
1115,0.733
1116,0.738
1117,0.695
1118,0.724
1119,0.678
1120,0.627
1121,0.677
1122,0.724
1123,0.677
1124,0.712
1125,0.543
1126,0.632
1127,0.747
1128,0.631
1129,0.734
1130,0.602
1131,0.679
1132,0.753
122,0.619
123,0.666
124,0.736
125,0.666
126,0.744
127,0.65
128,0.717
129,0.664
1210,0.641
1211,0.694
1212,0.637
1213,0.687
1214,0.663
1215,0.713
1216,0.69
1217,0.699
1218,0.722
1219,0.66
1220,0.652
1221,0.704
1222,0.707
1223,0.677
1224,0.73
1225,0.603
1226,0.657
1227,0.755
1228,0.689
1229,0.747
1230,0.616
1231,0.678
1232,0.745
132,0.642
133,0.725
134,0.732
135,0.677
136,0.757
137,0.637
138,0.735
139,0.655
1310,0.669
1311,0.645
1312,0.632
1313,0.711
1314,0.683
1315,0.679
1316,0.707
1317,0.706
1318,0.741
1319,0.684
1320,0.658
1321,0.74
1322,0.779
1323,0.712
1324,0.761
1325,0.621
1326,0.672
1327,0.771
1328,0.651
1329,0.779
1330,0.632
1331,0.708
1332,0.745
142,0.636
143,0.705
144,0.754
145,0.684
146,0.751
147,0.668
148,0.732
149,0.684
1410,0.69
1411,0.67
1412,0.688
1413,0.764
1414,0.68
1415,0.727
1416,0.757
1417,0.719
1418,0.742
1419,0.688
1420,0.693
1421,0.75
1422,0.799
1423,0.748
1424,0.747
1425,0.607
1426,0.694
1427,0.782
1428,0.721
1429,0.781
1430,0.684
1431,0.684
1432,0.793
152,0.66
153,0.688
154,0.756
155,0.696
156,0.756
157,0.693
158,0.756
159,0.731
1510,0.729
1511,0.725
1512,0.691
1513,0.773
1514,0.715
1515,0.739
1516,0.764
1517,0.733
1518,0.741
1519,0.728
1520,0.682
1521,0.74
1522,0.79
1523,0.758
1524,0.788
1525,0.662
1526,0.685
1527,0.794
1528,0.744
1529,0.781
1530,0.706
1531,0.732
1532,0.787
162,0.671
163,0.699
164,0.783
165,0.694
166,0.774
167,0.694
168,0.772
169,0.739
1610,0.704
1611,0.731
1612,0.687
1613,0.763
1614,0.731
1615,0.721
1616,0.794
1617,0.759
1618,0.736
1619,0.706
1620,0.665
1621,0.738
1622,0.806
1623,0.748
1624,0.777
1625,0.711
1626,0.725
1627,0.795
1628,0.754
1629,0.794
1630,0.692
1631,0.748
1632,0.806
